journal,ISSN,eISSN,categories
Innovation and Development,2157-930X,2157-9318,"[DEVELOPMENT STUDIES, ECONOMICS]"
INTERNATIONAL JOURNAL OF POLITICAL ECONOMY,0891-1916,1558-0970,[ECONOMICS]
ATLANTIC ECONOMIC JOURNAL,0197-4254,1573-9678,[ECONOMICS]
Central Bank Review,1303-0701,1305-8800,[ECONOMICS]
Journal of Australian Political Economy,0156-5826,1839-3675,[ECONOMICS]
Zagreb International Review of Economics & Business,1331-5609,1849-1162,[ECONOMICS]
Studia Universitatis Vasile Goldis Arad Seria Stiinte Economice,1584-2339,2285-3065,[ECONOMICS]
East Asian Economic Review,2508-1640,2508-1667,[ECONOMICS]
Apuntes del CENES,0120-3053,2256-5779,[ECONOMICS]
Revue Interventions Economiques-Papers in Political Economy,0715-3570,1710-7377,[ECONOMICS]
TRANSPORTATION SCIENCE,0041-1655,N/A,"[OPERATIONS RESEARCH & MANAGEMENT SCIENCE, TRANSPORTATION]"
URBAN FORESTRY & URBAN GREENING,1618-8667,1610-8167,"[ENVIRONMENTAL STUDIES, FORESTRY, URBAN STUDIES]"
Wiley Interdisciplinary Reviews-Climate Change,1757-7780,1757-7799,[ENVIRONMENTAL STUDIES]
DISASTERS,0361-3666,1467-7717,[ENVIRONMENTAL STUDIES]
Frontiers in Climate,N/A,2624-9553,[ENVIRONMENTAL STUDIES]
Conservation & Society,0972-4923,0975-3133,[ENVIRONMENTAL STUDIES]
Impact Assessment and Project Appraisal,1461-5517,1471-5465,[ENVIRONMENTAL STUDIES]
NATURAL RESOURCES JOURNAL,0028-0739,0028-0739,[ENVIRONMENTAL STUDIES]
Trumpeter-Journal of Ecosophy,0832-6193,0832-6193,[ENVIRONMENTAL STUDIES]
INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,0020-7438,1471-6380,[AREA STUDIES]
JOURNAL OF LATIN AMERICAN STUDIES,0022-216X,1469-767X,[AREA STUDIES]
Mediterranean Politics,1362-9395,1743-9418,[AREA STUDIES]
New Perspectives on Turkey,0896-6346,1305-3299,[AREA STUDIES]
Social Science Japan Journal,1369-1465,1468-2680,[AREA STUDIES]
Japanese Studies,1037-1397,1469-9338,[AREA STUDIES]
Bilig,1301-0549,1301-0549,[AREA STUDIES]
Asian Journal of Middle Eastern and Islamic Studies,2576-5949,2576-5957,[AREA STUDIES]
London Journal,0305-8034,1749-6322,[AREA STUDIES]
Africa Review,0974-4053,0974-4061,[AREA STUDIES]
Revista de Estudios Andaluces,0212-8594,2340-2776,[AREA STUDIES]
DEVELOPMENT AND CHANGE,0012-155X,1467-7660,[DEVELOPMENT STUDIES]
Journal of Environmental Policy & Planning,1523-908X,1522-7200,[DEVELOPMENT STUDIES]
Revista Cooperativismo y Desarrollo-COODES,2310-340X,2310-340X,[DEVELOPMENT STUDIES]
CONSERVATION BIOLOGY,0888-8892,1523-1739,[ECOLOGY]
LANDSCAPE ECOLOGY,0921-2973,1572-9761,[ECOLOGY]
APPLIED VEGETATION SCIENCE,1402-2001,1654-109X,"[ECOLOGY, FORESTRY]"
Fire Ecology,1933-9747,1933-9747,"[ECOLOGY, FORESTRY]"
Aquatic Invasions,1798-6540,1818-5487,[ECOLOGY]
RUSSIAN JOURNAL OF ECOLOGY,1067-4136,1608-3334,[ECOLOGY]
PHYTOCOENOLOGIA,0340-269X,2363-7153,[ECOLOGY]
POLISH POLAR RESEARCH,0138-0338,2081-8262,[ECOLOGY]
Neotropical Biology and Conservation,N/A,2236-3777,[ECOLOGY]
Ecological Frontiers,N/A,2950-5097,[ECOLOGY]
Hacquetia,1581-4661,1854-9829,[ECOLOGY]
Journal of Urban Design,1357-4809,1469-9664,[URBAN STUDIES]
JOURNAL OF PLANNING LITERATURE,0885-4122,1552-6593,[URBAN STUDIES]
TeMA-Journal of Land Use Mobility and Environment,1970-9889,1970-9870,[URBAN STUDIES]
JOURNAL OF EUROPEAN SOCIAL POLICY,0958-9287,1461-7269,[PUBLIC ADMINISTRATION]
European Policy Analysis,N/A,2380-6567,[PUBLIC ADMINISTRATION]
Data & Policy,N/A,2632-3249,[PUBLIC ADMINISTRATION]
Revista do Servico Publico,0034-9240,2357-8017,[PUBLIC ADMINISTRATION]
Cadernos Gestao Publica e Cidadania,1806-2261,2236-5710,[PUBLIC ADMINISTRATION]
FOREST ECOLOGY AND MANAGEMENT,0378-1127,1872-7042,[FORESTRY]
REVISTA ARVORE,0100-6762,1806-9088,[FORESTRY]
Forest Science and Technology,2158-0103,2158-0715,[FORESTRY]
International Journal of Forest Engineering,1494-2119,1913-2220,[FORESTRY]
Forestry Research,N/A,2767-3812,[FORESTRY]
Forestist,2602-4039,2602-4039,[FORESTRY]
Formath,N/A,2188-5729,[FORESTRY]
COMPUTERS & OPERATIONS RESEARCH,0305-0548,1873-765X,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
MATHEMATICAL PROGRAMMING,0025-5610,1436-4646,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
SYSTEMS & CONTROL LETTERS,0167-6911,1872-7956,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Opsearch,0030-3887,0975-0320,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Memetic Computing,1865-9284,1865-9292,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Top,1134-5764,1863-8279,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Operations Research and Decisions,2081-8858,2391-6060,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Journalism Practice,1751-2786,1751-2794,[COMMUNICATION]
MEDIA PSYCHOLOGY,1521-3269,1532-785X,[COMMUNICATION]
Communication & Sport,2167-4795,2167-4809,[COMMUNICATION]
Mobile Media & Communication,2050-1579,2050-1587,[COMMUNICATION]
Revista Latina de Comunicacion Social,1138-5820,1138-5820,[COMMUNICATION]
Communication Reports,0893-4215,1745-1043,[COMMUNICATION]
Journal of Radio & Audio Media,1937-6529,1937-6537,[COMMUNICATION]
Journal of Information Policy,2381-5892,2158-3897,[COMMUNICATION]
Cuadernos Info,0719-3661,0719-367X,[COMMUNICATION]
AdComunica-Revista Cientifica de Estrategias Tendencias e Innovacion en Communicacion,2174-0992,2254-2728,[COMMUNICATION]
Ambitos,1139-1979,1988-5733,[COMMUNICATION]
Teknokultura: Revista de Cultura Digital y Movimientos Sociales,1549-2230,1549-2230,[COMMUNICATION]
H-ermes-Journal of Communication,2284-0753,2284-0753,[COMMUNICATION]
LABOUR-LE TRAVAIL,0700-3862,1911-4842,[INDUSTRIAL RELATIONS & LABOR]
Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,1573-3289,[HEALTH POLICY & SERVICES]
Palliative & Supportive Care,1478-9515,1478-9523,[HEALTH POLICY & SERVICES]
International Journal of Healthcare Management,2047-9700,2047-9719,[HEALTH POLICY & SERVICES]
JOURNAL OF HEALTHCARE MANAGEMENT,1096-9012,1944-7396,[HEALTH POLICY & SERVICES]
Journal of Healthcare Leadership,1179-3201,1179-3201,[HEALTH POLICY & SERVICES]
BMC HEALTH SERVICES RESEARCH,N/A,1472-6963,[HEALTH CARE SCIENCES & SERVICES]
BMC Medical Research Methodology,N/A,1471-2288,[HEALTH CARE SCIENCES & SERVICES]
Health and Quality of Life Outcomes,N/A,1477-7525,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
npj Digital Medicine,2398-6352,2398-6352,[HEALTH CARE SCIENCES & SERVICES]
JOURNAL OF EVALUATION IN CLINICAL PRACTICE,1356-1294,1365-2753,[HEALTH CARE SCIENCES & SERVICES]
Journal of Multidisciplinary Healthcare,1178-2390,1178-2390,[HEALTH CARE SCIENCES & SERVICES]
Digital Health,2055-2076,2055-2076,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
MILBANK QUARTERLY,0887-378X,1468-0009,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
American Journal of Hospice & Palliative Medicine,1049-9091,1938-2715,[HEALTH CARE SCIENCES & SERVICES]
Patient-Patient Centered Outcomes Research,1178-1653,1178-1661,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Health Informatics Journal,1460-4582,1741-2811,[HEALTH CARE SCIENCES & SERVICES]
JAMIA Open,N/A,2574-2531,[HEALTH CARE SCIENCES & SERVICES]
JOURNAL OF PALLIATIVE CARE,0825-8597,2369-5293,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
BULLETIN OF THE HISTORY OF MEDICINE,0007-5140,1086-3176,[HEALTH CARE SCIENCES & SERVICES]
International Journal of Population Data Science (IJPDS),N/A,2399-4908,[HEALTH CARE SCIENCES & SERVICES]
Implementation Research and Practice,2633-4895,2633-4895,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Journal of Health Economics and Outcomes Research,2327-2236,2327-2236,"[ECONOMICS, HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
JOURNAL OF BANKING & FINANCE,0378-4266,1872-6372,"['BUSINESS, FINANCE', ECONOMICS]"
FINANCIAL ANALYSTS JOURNAL,0015-198X,1938-3312,"['BUSINESS, FINANCE']"
European Journal of Finance,1351-847X,1466-4364,"['BUSINESS, FINANCE']"
Review of Quantitative Finance and Accounting,0924-865X,1573-7179,"['BUSINESS, FINANCE']"
JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,0895-5638,1573-045X,"['BUSINESS, FINANCE', ECONOMICS, URBAN STUDIES]"
JOURNAL OF INDUSTRIAL ECONOMICS,0022-1821,1467-6451,"['BUSINESS, FINANCE', ECONOMICS]"
Journal of Financial Econometrics,1479-8409,1479-8417,"['BUSINESS, FINANCE', ECONOMICS]"
International Journal of Islamic and Middle Eastern Finance and Management,1753-8394,1753-8408,"['BUSINESS, FINANCE', MANAGEMENT]"
International Journal of Central Banking,1815-4654,1815-7556,"['BUSINESS, FINANCE']"
Financial Accountability & Management,0267-4424,1468-0408,"['BUSINESS, FINANCE']"
Journal of Accounting Literature,0737-4607,2452-1469,"['BUSINESS, FINANCE']"
Journal of Commodity Markets,2405-8513,2405-8505,"['BUSINESS, FINANCE', ECONOMICS]"
Studies in Economics and Finance,1086-7376,1755-6791,"['BUSINESS, FINANCE']"
Accounting in Europe,1744-9480,1744-9499,"['BUSINESS, FINANCE']"
Journal of Risk,1465-1211,1755-2842,"['BUSINESS, FINANCE']"
Journal of Financial Regulation and Compliance,1358-1988,1740-0279,"['BUSINESS, FINANCE']"
Green Finance,2643-1092,2643-1092,"['BUSINESS, FINANCE']"
Istanbul Business Research,N/A,2630-5488,"['BUSINESS, FINANCE']"
Istanbul Iktisat Dergisi-Istanbul Journal of Economics,2602-4152,2602-3954,"['BUSINESS, FINANCE', ECONOMICS]"
Southern African Journal of Accountability and Auditing Research-SAJAAR,1028-9011,1028-9011,"['BUSINESS, FINANCE']"
Japanese Accounting Review,2185-4785,2185-4793,"['BUSINESS, FINANCE']"
International Journal of Contemporary Hospitality Management,0959-6119,1757-1049,[MANAGEMENT]
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,0018-9391,1558-0040,"[BUSINESS, MANAGEMENT]"
HUMAN RESOURCE MANAGEMENT,0090-4848,1099-050X,[MANAGEMENT]
Journal of Manufacturing Technology Management,1741-038X,1758-7786,[MANAGEMENT]
MANAGERIAL AND DECISION ECONOMICS,0143-6570,1099-1468,"[ECONOMICS, MANAGEMENT]"
Project Management Journal,8756-9728,1938-9507,[MANAGEMENT]
Journal of Fashion Marketing and Management,1361-2026,1758-7433,"[BUSINESS, MANAGEMENT]"
SMALL GROUP RESEARCH,1046-4964,1552-8278,[MANAGEMENT]
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,0267-5730,1741-5276,"[MANAGEMENT, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]"
AUSTRALIAN JOURNAL OF MANAGEMENT,0312-8962,1327-2020,"[BUSINESS, MANAGEMENT]"
Facilities,0263-2772,1758-7131,[MANAGEMENT]
Nonprofit Management & Leadership,1048-6682,1542-7854,"[MANAGEMENT, PUBLIC ADMINISTRATION]"
Journal of Strategy and Management,1755-425X,1755-425X,[MANAGEMENT]
Organization Theory,N/A,2631-7877,[MANAGEMENT]
Journal of Global Operations and Strategic Sourcing,2398-5364,2398-5364,[MANAGEMENT]
World Journal of Entrepreneurship Management and Sustainable Development,2042-5961,2042-597X,[MANAGEMENT]
Service Science,2164-3962,2164-3970,"[BUSINESS, MANAGEMENT]"
Asian Academy of Management Journal,1394-2603,1985-8280,[MANAGEMENT]
Decision,0304-0941,2197-1722,[MANAGEMENT]
Cuadernos de Gestion,1131-6837,1988-2157,"[BUSINESS, MANAGEMENT]"
ACCESS-Access to science business innovation in the digital economy,N/A,2683-1007,"[BUSINESS, ECONOMICS, MANAGEMENT]"
NTU Management Review,1018-1601,2410-2490,[MANAGEMENT]
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,0092-0703,1552-7824,[BUSINESS]
JOURNAL OF CONSUMER AFFAIRS,0022-0078,1745-6606,"[BUSINESS, ECONOMICS]"
Entrepreneurship and Sustainability Issues,2345-0282,2345-0282,[BUSINESS]
CORPORATE REPUTATION REVIEW,1363-3589,1479-1889,[BUSINESS]
International Journal of Engineering Business Management,1847-9790,1847-9790,[BUSINESS]
Sport Marketing Quarterly,1061-6934,1557-2528,[BUSINESS]
Journal of Nonprofit & Public Sector Marketing,1049-5142,1540-6997,[BUSINESS]
Journal of Global Scholars of Marketing Science,2163-9159,2163-9167,[BUSINESS]
International Journal of Indian Culture and Business Management,1753-0806,1753-0814,[BUSINESS]
Pacific Business Review International,0974-438X,0974-438X,[BUSINESS]
International Journal of Business,1083-4346,1083-4346,[BUSINESS]
Turkish Journal of Business Ethics,1308-4070,2149-8148,[BUSINESS]
Revista de Estudios Empresariales-Segunda Epoca,0213-8964,1988-9046,[BUSINESS]
GEOFORUM,0016-7185,1872-9398,[GEOGRAPHY]
PROGRESS IN HUMAN GEOGRAPHY,0309-1325,1477-0288,[GEOGRAPHY]
Environment and Planning E-Nature and Space,2514-8486,2514-8494,"[ENVIRONMENTAL STUDIES, GEOGRAPHY]"
Urban Science,N/A,2413-8851,"[ENVIRONMENTAL STUDIES, GEOGRAPHY, URBAN STUDIES]"
AUSTRALIAN GEOGRAPHER,0004-9182,1465-3311,[GEOGRAPHY]
Journal of Geovisualization and Spatial Analysis,2509-8810,2509-8829,[GEOGRAPHY]
Quaestiones Geographicae,0137-477X,2081-6383,[GEOGRAPHY]
SPACE AND POLITY,1356-2576,1470-1235,[GEOGRAPHY]
GEOGRAFICKY CASOPIS-Geographical Journal,0016-7193,2453-8787,[GEOGRAPHY]
Anales de Geografia de la Universidad Complutense,0211-9803,1988-2378,[GEOGRAPHY]
Developpement Durable & Territoires,1772-9971,1772-9971,[GEOGRAPHY]
International Journal of Applied Geospatial Research,1947-9654,1947-9662,[GEOGRAPHY]
Geo UERJ,1415-7543,1981-9021,[GEOGRAPHY]
Revista Formacao Online,2178-7298,1517-543X,[GEOGRAPHY]
European Journal of Population-Revue Europeenne de Demographie,0168-6577,1572-9885,[DEMOGRAPHY]
Comparative Migration Studies,N/A,2214-594X,[DEMOGRAPHY]
PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,1538-6341,1931-2393,[DEMOGRAPHY]
Sociology of Race and Ethnicity,2332-6492,2332-6506,[ETHNIC STUDIES]
Ethnopolitics,1744-9057,1744-9065,[ETHNIC STUDIES]
Canadian Ethnic Studies-Etudes Ethniques au Canada,0008-3496,1913-8253,[ETHNIC STUDIES]
JOURNAL OF ECONOMIC LITERATURE,0022-0515,2328-8175,[ECONOMICS]
CHINA ECONOMIC REVIEW,1043-951X,1873-7781,[ECONOMICS]
Futures,0016-3287,1873-6378,[ECONOMICS]
PUBLIC CHOICE,0048-5829,1573-7101,[ECONOMICS]
REVIEW OF INTERNATIONAL POLITICAL ECONOMY,0969-2290,1466-4526,[ECONOMICS]
JOURNAL OF AGRICULTURAL ECONOMICS,0021-857X,1477-9552,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
EXPERIMENTAL ECONOMICS,1386-4157,1573-6938,[ECONOMICS]
FEMINIST ECONOMICS,1354-5701,1466-4372,[ECONOMICS]
Journal of Asian Economics,1049-0078,1873-7927,[ECONOMICS]
WORLD BANK RESEARCH OBSERVER,0257-3032,1564-6971,"[DEVELOPMENT STUDIES, ECONOMICS]"
JOURNAL OF ECONOMIC ISSUES,0021-3624,1946-326X,[ECONOMICS]
DEFENCE AND PEACE ECONOMICS,1024-2694,1476-8267,[ECONOMICS]
JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,1068-5502,2327-8285,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,0317-0861,1911-9917,"[ECONOMICS, PUBLIC ADMINISTRATION]"
Environmental Economics and Policy Studies,1432-847X,1867-383X,[ECONOMICS]
SCOTTISH JOURNAL OF POLITICAL ECONOMY,0036-9292,1467-9485,[ECONOMICS]
Econometrics,N/A,2225-1146,[ECONOMICS]
China Economic Journal,1753-8963,1753-8971,[ECONOMICS]
Economic Computation and Economic Cybernetics Studies and Research,0424-267X,1842-3264,[ECONOMICS]
INTERNATIONAL ECONOMIC JOURNAL,1016-8737,1743-517X,[ECONOMICS]
INTERNATIONAL ECONOMICS AND ECONOMIC POLICY,1612-4804,1612-4812,[ECONOMICS]
Games,N/A,2073-4336,[ECONOMICS]
Forum for Social Economics,0736-0932,1874-6381,[ECONOMICS]
Comparative Economic Research-Central and Eastern Europe,1508-2008,2082-6737,[ECONOMICS]
Scientific Annals of Economics and Business,2501-1960,2501-3165,[ECONOMICS]
Retos-Revista de Ciencias de la Administracion y Economia,1390-6291,1390-8618,[ECONOMICS]
World Review of Political Economy,2042-891X,2042-8928,[ECONOMICS]
Economia Agraria y Recursos Naturales,1578-0732,2174-7350,[ECONOMICS]
Asia and the Global Economy,N/A,2667-1115,[ECONOMICS]
TRANSPORTATION,0049-4488,1572-9435,[TRANSPORTATION]
Transportation Research Interdisciplinary Perspectives,2590-1982,2590-1982,[TRANSPORTATION]
Travel Behaviour and Society,2214-367X,2214-3688,[TRANSPORTATION]
International Journal of Sustainable Transportation,1556-8318,1556-8334,"[ENVIRONMENTAL STUDIES, TRANSPORTATION]"
Journal of Rail Transport Planning & Management,2210-9706,2210-9714,[TRANSPORTATION]
HABITAT INTERNATIONAL,0197-3975,1873-5428,"[DEVELOPMENT STUDIES, ENVIRONMENTAL STUDIES, URBAN STUDIES]"
Energy & Environment,0958-305X,2048-4070,[ENVIRONMENTAL STUDIES]
NATURAL RESOURCES FORUM,N/A,1477-8947,[ENVIRONMENTAL STUDIES]
Frontiers in Sustainable Cities,N/A,2624-9634,"[ENVIRONMENTAL STUDIES, URBAN STUDIES]"
Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,1965-0175,1965-0175,[ENVIRONMENTAL STUDIES]
Resources Environment and Sustainability,2666-9161,2666-9161,[ENVIRONMENTAL STUDIES]
Global Sustainability,N/A,2059-4798,[ENVIRONMENTAL STUDIES]
JOURNAL OF ENVIRONMENTAL LAW,0952-8873,1464-374X,[ENVIRONMENTAL STUDIES]
CONTEMPORARY PACIFIC,1043-898X,1527-9464,[AREA STUDIES]
Social Dynamics-A Journal of African Studies,0253-3952,1940-7874,[AREA STUDIES]
Critical African Studies,2168-1392,2040-7211,[AREA STUDIES]
JOURNAL OF JAPANESE STUDIES,0095-6848,1549-4721,[AREA STUDIES]
European Journal of East Asian Studies,1568-0584,1570-0615,[AREA STUDIES]
African and Asian Studies,1569-2094,1569-2108,[AREA STUDIES]
Journal of Nusantara Studies-JONUS,0127-9319,0127-9386,[AREA STUDIES]
SUSTAINABLE DEVELOPMENT,0968-0802,1099-1719,[DEVELOPMENT STUDIES]
Journal of International Development,0954-1748,1099-1328,[DEVELOPMENT STUDIES]
MOLECULAR ECOLOGY,0962-1083,1365-294X,[ECOLOGY]
GLOBAL ECOLOGY AND BIOGEOGRAPHY,1466-822X,1466-8238,[ECOLOGY]
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,1540-9309,[ECOLOGY]
JOURNAL OF WILDLIFE MANAGEMENT,0022-541X,1937-2817,[ECOLOGY]
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1612-4642,1439-0574,[ECOLOGY]
AQUATIC MICROBIAL ECOLOGY,0948-3055,1616-1564,[ECOLOGY]
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,1433-8319,1433-8319,[ECOLOGY]
Animal Biotelemetry,N/A,2050-3385,[ECOLOGY]
Arctic Science,N/A,2368-7460,[ECOLOGY]
URBAN AFFAIRS REVIEW,1078-0874,1552-8332,[URBAN STUDIES]
EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,0250-7161,0717-6236,[URBAN STUDIES]
Journal of Property Research,0959-9916,1466-4453,[URBAN STUDIES]
Urbe-Revista Brasileira de Gestao Urbana,2175-3369,2175-3369,[URBAN STUDIES]
Revista de Direito da Cidade-City Law,2317-7721,2317-7721,[URBAN STUDIES]
PUBLIC PERSONNEL MANAGEMENT,0091-0260,1945-7421,"[INDUSTRIAL RELATIONS & LABOR, PUBLIC ADMINISTRATION]"
Journal of Chinese Governance,2381-2346,2381-2354,[PUBLIC ADMINISTRATION]
International Social Security Review,0020-871X,1468-246X,[PUBLIC ADMINISTRATION]
International Journal of Public Leadership,2056-4929,2042-8642,[PUBLIC ADMINISTRATION]
NISPAcee Journal of Public Administration and Policy,1337-9038,1338-4309,[PUBLIC ADMINISTRATION]
Administration,0001-8325,2449-9471,[PUBLIC ADMINISTRATION]
Revista de Gestion Publica,0719-1820,0719-1839,[PUBLIC ADMINISTRATION]
AGRICULTURAL AND FOREST METEOROLOGY,0168-1923,1873-2240,[FORESTRY]
AGROFORESTRY SYSTEMS,0167-4366,1572-9680,[FORESTRY]
European Journal of Wood and Wood Products,0018-3768,1436-736X,[FORESTRY]
JOURNAL OF FORESTRY,0022-1201,1938-3746,[FORESTRY]
FORESTRY CHRONICLE,0015-7546,1499-9315,[FORESTRY]
Journal of Sustainable Forestry,1054-9811,1540-756X,[FORESTRY]
CIENCIA FLORESTAL,0103-9954,1980-5098,[FORESTRY]
Mathematical and Computational Forestry & Natural-Resource Sciences,1946-7664,1946-7664,[FORESTRY]
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,0925-5273,1873-7579,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
PRODUCTION PLANNING & CONTROL,0953-7287,1366-5871,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,0926-6003,1573-2894,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Systems Engineering,1098-1241,1520-6858,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Journal of Simulation,1747-7778,1747-7786,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Journal of Systems Science and Systems Engineering,1004-3756,1861-9576,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
International Journal of Mathematical Engineering and Management Sciences,2455-7749,2455-7749,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,0835-1813,1532-7973,[COMMUNICATION]
Communication Research Reports,0882-4096,1746-4099,[COMMUNICATION]
Translator,1355-6509,1757-0409,[COMMUNICATION]
Online Journal of Communication and Media Technologies,1986-3497,1986-3497,[COMMUNICATION]
Rhetoric & Public Affairs,1094-8392,1534-5238,[COMMUNICATION]
Journal of Creative Communications,0973-2586,0973-2594,[COMMUNICATION]
SEARCH-Journal of Media and Communication Research,N/A,2672-7080,[COMMUNICATION]
KOME-An International Journal of Pure Communication Inquiry,2063-7330,2063-7330,[COMMUNICATION]
Obra Digital-Revista de Comunicacion,2014-5039,2014-5039,[COMMUNICATION]
Australian Journalism Review,0810-2686,2517-620X,[COMMUNICATION]
Wine Economics and Policy,2213-3968,2212-9774,[AGRICULTURAL ECONOMICS & POLICY]
German Journal of Agricultural Economics,0515-6866,2191-4028,[AGRICULTURAL ECONOMICS & POLICY]
Journal of Integrated Care,1476-9018,2042-8685,[HEALTH POLICY & SERVICES]
Farmaceuticos Comunitarios,1885-8619,2173-9218,[HEALTH POLICY & SERVICES]
JOURNAL OF GENERAL INTERNAL MEDICINE,0884-8734,1525-1497,[HEALTH CARE SCIENCES & SERVICES]
HEALTH TECHNOLOGY ASSESSMENT,1366-5278,2046-4924,[HEALTH CARE SCIENCES & SERVICES]
Journal of Interprofessional Care,1356-1820,1469-9567,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
JOURNAL OF PUBLIC HEALTH POLICY,0197-5897,1745-655X,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
JOURNAL OF HEALTH POLITICS POLICY AND LAW,0361-6878,N/A,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Journal for Healthcare Quality,1062-2551,1945-1474,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Annali di Igiene Medicina Preventiva e di Comunita,1120-9135,1120-9135,[HEALTH CARE SCIENCES & SERVICES]
